Statistical unit,Unit of measure,Level of education,Orientation,Sex,Age,Grade,Type of institution,Level of educational attainment,Wealth quintile,Location,Type of education,Field of education,School subject,Infrastructure,Socioeconomic background,Teaching experience,Type of contract,Country / region of origin,Destination region,Immigration status,Reference area,Time Period,2012,2013,2014,2015,2016,2017,2018
SCH:School,PT:Percentage,L1:Primary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,ELEC:Electricity,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SCH:PT:L1:_T:_T:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:ELEC:_Z:_Z:_Z:W00:W00:_Z:UA,,,,,100,100,
GTVP:Distribution of enrolment by orientation of education programme,PT:Percentage,L3:Upper secondary education,C5:Vocational programmes,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GTVP:PT:L3:C5:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,28.23994,30.97224,30.22218,29.44676,30.14302,30.26285,
TEACH:Teachers,PER:Number of persons,L0:Early childhood education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEACH:PER:L0:_T:_T:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,133768,134850,136076,
SLE:School life expectancy,YR:Years,L4:Post-secondary non-tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SLE:YR:L4:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.27082,0.28553,0.29222,0.25347,0.25157,0.23974,
NAR:Net attendance rate,GPIA:Adjusted gender parity index,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:GPIA:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1.17462,,,,,
STU:Students,PER:Number of persons,L3:Upper secondary education,C5:Vocational programmes,_T:Total,_T:Total,_T:Total,INST_PUB:Public institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L3:C5:_T:_T:_T:INST_PUB:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,256962,271345,243100,193164,186191,178989,
NART:Total net attendance rate,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:PT:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,100,,,,,
NAR:Net attendance rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L1:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,91.20281,,,,,
TEACH:Teachers,PER:Number of persons,L5:Short-cycle tertiary education,_T:Total,F:Female,_T:Total,_T:Total,INST_PUB:Public institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEACH:PER:L5:_T:F:_T:_T:INST_PUB:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,NaN,NaN,NaN,
CR:Completion rate,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q3:Middle,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:Q3:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,100,,,,,
STU:Students,PER:Number of persons,L4:Post-secondary non-tertiary education,C5:Vocational programmes,_T:Total,_T:Total,_T:Total,INST_PUB:Public institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L4:C5:_T:_T:_T:INST_PUB:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,152461,,,,,,
NAR:Net attendance rate,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
STU:Students,PER:Number of persons,L2_3:Secondary education,C5:Vocational programmes,M:Male,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L2_3:C5:M:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,0,0,0,0,0,
CR:Completion rate,WPIA:Adjusted wealth parity index,L1:Primary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:WPIA:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.99901,,,,,
TH_ENTRY_AGE:Official entrance age,YR:Years,L02:Pre-primary education,_T:Total,_T:Total,TH_ENTRY_AGE:Official entrance age,G1:Grade 1,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TH_ENTRY_AGE:YR:L02:_T:_T:TH_ENTRY_AGE:G1:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,3,3,3,3,3,3,
ROFST_PHH:Rate of out-of-school children (household survey data),GPIA:Adjusted gender parity index,L1:Primary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:GPIA:L1:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L3:Upper secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
QTEACH:Qualified teachers,PER:Number of persons,L02:Pre-primary education,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,QTEACH:PER:L02:_T:F:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,,NaN,,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,A5:Central America and the Caribbean,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:A5:W00:_Z:UA,0,,,,,,
NIRA:Adjusted net intake rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,TH_ENTRY_AGE:Official entrance age,G1:Grade 1,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NIRA:PT:L1:_T:F:TH_ENTRY_AGE:G1:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,72.24419,73.01227,68.61987,,,,
DR:Drop-out rate,PT:Percentage,L1:Primary education,_T:Total,_T:Total,_T:Total,G1:Grade 1,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,DR:PT:L1:_T:_T:_T:G1:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.47133,0.69974,12.34696,1.47179,0.63615,,
STU:Students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L5T8:_T:_T:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,270031,224577,192063,155505,140520,132153,
NAR:Net attendance rate,GPIA:Adjusted gender parity index,L2:Lower secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:GPIA:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
GAR:Gross attendance ratio,PT:Percentage,L5T8:Tertiary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q4:Fourth,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GAR:PT:L5T8:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q4:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
STU:Students,PER:Number of persons,L6:Bachelor?s or equivalent level,_T:Total,M:Male,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L6:_T:M:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,51017,44554,35466,32679,27071,
STU:Students,PER:Number of persons,L8:Doctoral or equivalent level,_T:Total,F:Female,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L8:_T:F:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,21483,21162,20428,17869,16325,14720,
NIR:Net intake rate,PT:Percentage,L1:Primary education,_T:Total,F:Female,TH_ENTRY_AGE:Official entrance age,G1:Grade 1,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NIR:PT:L1:_T:F:TH_ENTRY_AGE:G1:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,79.41978,72.10429,67.72303,,,,
SR:Survival rate,PT:Percentage,L2:Lower secondary education,C4:General programmes,F:Female,_T:Total,G3:Grade 3,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SR:PT:L2:C4:F:_T:G3:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,99.52615,99.47103,78.41112,97.36041,99.02134,,
NENT_P:New entrants who have attended any early childhood education programme,PER:Number of persons,L1:Primary education,_T:Total,M:Male,TH_ENTRY_AGE:Official entrance age,G1:Grade 1,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NENT_P:PER:L1:_T:M:TH_ENTRY_AGE:G1:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,NaN,168562,217164,NaN,
STU_MOBILE:International (or internationally mobile) students,PER:Number of persons,L5T8:Tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,ID:Indonesia,W00:All countries,_Z:Not applicable,UA:Ukraine,STU_MOBILE:PER:L5T8:_T:_T:_T:_T:INST_T:_Z:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:ID:W00:_Z:UA,0,0,0,1,1,2,
DR:Drop-out rate,PT:Percentage,L2:Lower secondary education,C4:General programmes,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,DR:PT:L2:C4:_T:_T:GLAST:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.71124,0.84665,37.54706,4.50928,1.52827,,
NART:Total net attendance rate,WPIA:Adjusted wealth parity index,L3:Upper secondary education,_T:Total,_T:Total,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NART:WPIA:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
STU:Students,PER:Number of persons,L3:Upper secondary education,C5:Vocational programmes,M:Male,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L3:C5:M:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,0,0,0,0,0,
CR:Completion rate,WPIA:Adjusted wealth parity index,L2:Lower secondary education,_T:Total,_T:Total,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_T:Total,URB:Urban,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:WPIA:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:URB:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,1,,,,,
GER:Gross enrolment ratio,PT:Percentage,L2:Lower secondary education,C5:Vocational programmes,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,GER:PT:L2:C5:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0,0,0,,,,
TEACH:Teachers,PER:Number of persons,L4:Post-secondary non-tertiary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_T:Total,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,TEACH:PER:L4:_T:_T:_T:_T:INST_T:_T:_Z:_T:_T:_T:_T:_Z:_Z:_T:_T:W00:W00:_Z:UA,,,,26327,31269,,
SCH:School,PT:Percentage,L2:Lower secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,COMP_PP:Computers for pedagogical purposes,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SCH:PT:L2:_T:_T:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:COMP_PP:_Z:_Z:_Z:W00:W00:_Z:UA,,,,,85.71429,100,
LR:Literacy rate,PT:Percentage,_Z:Not applicable,_Z:Not applicable,_T:Total,Y25T64:25-64 years,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,LR:PT:_Z:_Z:_T:Y25T64:_Z:_Z:_Z:_Z:_T:_Z:_Z:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,99.98096,,,,,,
STU:Students,PER:Number of persons,L8:Doctoral or equivalent level,_T:Total,M:Male,_T:Total,_T:Total,INST_PRIV:Private institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L8:_T:M:_T:_T:INST_PRIV:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,,,233,562,554,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L3:Upper secondary education,_T:Total,F:Female,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q3:Middle,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L3:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:Q3:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
STU:Students,PT:Percentage,L3:Upper secondary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,ADULT:Adult education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PT:L3:_T:_T:_T:_T:INST_T:_Z:_Z:_T:ADULT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,0,0,0,0,
STU:Students,PER:Number of persons,L02:Pre-primary education,_T:Total,_T:Total,_T:Total,_T:Total,INST_PUB:Public institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,STU:PER:L02:_T:_T:_T:_T:INST_PUB:_Z:_Z:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,1341677,1187221,,1084719,1088036,1096464,
NAR:Net attendance rate,PT:Percentage,L3:Upper secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q5:Richest,RUR:Rural,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,NAR:PT:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q5:RUR:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
REPP:Percentage of repeaters,PT:Percentage,L2:Lower secondary education,C4:General programmes,_T:Total,_T:Total,_T:Total,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,REPP:PT:L2:C4:_T:_T:_T:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,0.00623,0.00529,0.00566,0.00677,0.02172,0.00419,
ROFST_PHH:Rate of out-of-school children (household survey data),PT:Percentage,L2:Lower secondary education,_T:Total,M:Male,SCH_AGE_GROUP:School-age population,_T:Total,INST_T:All institutions,_Z:Not applicable,Q2:Second,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,ROFST_PHH:PT:L2:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:Q2:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0.21206,,,,,
SR:Survival rate,PT:Percentage,L2:Lower secondary education,C4:General programmes,M:Male,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,_Z:Not applicable,_T:Total,INIT:Initial education,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,SR:PT:L2:C4:M:_T:GLAST:INST_T:_Z:_Z:_T:INIT:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,100,99.19696,62.48422,95.78202,98.59155,,
CR:Completion rate,GLPIA:Adjusted location parity index,L1:Primary education,_T:Total,F:Female,_T:Total,GLAST:Last grade,INST_T:All institutions,_Z:Not applicable,Q5:Richest,_T:Total,_T:Total,_T:Total,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,_Z:Not applicable,W00:All countries,W00:All countries,_Z:Not applicable,UA:Ukraine,CR:GLPIA:L1:_T:F:_T:GLAST:INST_T:_Z:Q5:_T:_T:_T:_Z:_Z:_Z:_Z:_Z:W00:W00:_Z:UA,,0,,,,,
